winning_img_merchant,contactid,asin,is_index_suppressed,has_leaf_node,has_keywords,bullet_point_count,qty_website_images,has_description,idq_grade,reporting_country
3.70056E+11,0033g00000u0H1AAAU,B09MR26QLD,0,0,1,0,9,1,D,SG
1.27522E+11,0031R00002AiZ5WQAV,B0927WQXSG,0,1,1,0,6,1,B,SG
3.70056E+11,0033g00000u0H1AAAU,B09MR1LJ6H,0,0,1,0,9,1,D,SG
27057418722,0033g000008Wv84AAC,B08LK4BXXV,0,1,1,0,4,1,B,SG
1.36389E+11,0033g000014hC7TAAU,B09PGLV548,0,1,1,0,1,1,E,SG
27905889915,0031R000025cOW3QAM,B07X94QB2W,0,0,1,5,9,1,B,SG
56448237,0033g00000zUIDMAA4,B09QRTYTWP,0,1,0,9,10,1,B,SG
27953743702,0033600001c6Ax1AAE,B07CYPVB4V,0,1,1,5,5,0,B,PH
1811943221,0033g000009gPBLAA2,B08HGSF49X,1,1,0,0,7,0,F,SG
2.37484E+11,0033g000009f5UiAAI,B09197LH1D,0,0,1,5,7,1,B,SG
72203523702,0031R00001vHqUXQA0,B07SRLBMMC,0,1,1,0,7,0,C,SG
1.80354E+11,0033g000005VjcgAAC,B09FT3NFX8,0,1,1,10,6,0,B,MY
1.53071E+11,0031R00002FhxdGQAR,B084V926S5,0,0,1,4,7,1,C,SG
56448237,0033g00000zUIDMAA4,B09V16SXYZ,0,1,0,8,6,1,B,SG
61090433302,0033600001pmgW6AAI,B07JNMJK7T,0,0,1,0,4,0,E,SG
66061532702,0033600001sIUmOAAW,B097HPBQKF,0,1,1,0,4,1,B,SG
1.00488E+11,0033600000XnRFrAAN,B091KVJN81,1,1,1,5,9,1,F,SG
1.31503E+11,0031R00002BXRiCQAX,B097R5LSFV,0,1,0,5,6,1,B,SG
